Hair_Color,Region_Climate,Companion_Pet,Core_Value,Weapon,House
Silver,Hot,None,Wealth,Valyrian Steel,Targaryen
Brown,Temperate,Raven,Knowledge,Warhammer,Targaryen
Auburn,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Hot,Dragon,Loyalty,Valyrian Steel,Targaryen
Black,Windy,Dragon,Loyalty,Axe,Baratheon
Blonde,Temperate,Lion,Loyalty,Spear,Lannister
Brown,Cold,Direwolf,Loyalty,Bow,Stark
Black,Windy,Direwolf,Loyalty,Axe,Stark
Black,Temperate,Direwolf,Honor,Sword,Stark
Red,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Black,Temperate,Dragon,Wealth,Bow,Stark
Blonde,Temperate,Stag,Wealth,Bow,Lannister
Red,Humid,Dragon,Wealth,Valyrian Steel,Targaryen
Blonde,Temperate,Cat,Power,Bow,Lannister
Red,Cold,Direwolf,Loyalty,Axe,Stark
Blonde,Temperate,None,Ambition,Sword,Lannister
Red,Temperate,None,Honor,Axe,Stark
Silver,Hot,Direwolf,Loyalty,Spear,Targaryen
Red,Temperate,None,Wealth,Warhammer,Lannister
Black,Cold,Stag,Honor,Warhammer,Baratheon
Black,Temperate,Stag,Ambition,Sword,Baratheon
Silver,Humid,Dragon,Ambition,Sword,Targaryen
Auburn,Temperate,Direwolf,Honor,Sword,Stark
Black,Cold,Direwolf,Loyalty,Axe,Stark
Silver,Windy,None,Ambition,Valyrian Steel,Targaryen
Black,Temperate,Stag,Ambition,Warhammer,Baratheon
Blonde,Temperate,None,Power,Dagger,Lannister
Black,Humid,Direwolf,Loyalty,Axe,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Windy,Stag,Power,Sword,Baratheon
Blonde,Temperate,Stag,Ambition,Sword,Lannister
Silver,Humid,Dragon,Power,Bow,Targaryen
Black,Cold,None,Loyalty,Spear,Stark
Black,Cold,Direwolf,Knowledge,Axe,Stark
Blonde,Hot,None,Wealth,Valyrian Steel,Lannister
Black,Hot,Stag,Justice,Warhammer,Baratheon
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Brown,Humid,Raven,Power,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Sword,Stark
Black,Cold,Stag,Knowledge,Sword,Stark
Black,Cold,None,Honor,Bow,Stark
Black,Cold,Direwolf,Honor,Sword,Stark
Blonde,Temperate,None,Power,Dagger,Lannister
Blonde,Temperate,Raven,Knowledge,Sword,Lannister
Blonde,Hot,Cat,Power,Sword,Lannister
Silver,Hot,Dragon,Ambition,Axe,Targaryen
Auburn,Temperate,Cat,Wealth,Sword,Lannister
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Temperate,Direwolf,Ambition,Warhammer,Stark
Black,Hot,Raven,Power,Bow,Baratheon
Auburn,Humid,Lion,Power,Warhammer,Baratheon
Black,Cold,None,Power,Dagger,Baratheon
Black,Windy,Lion,Power,Warhammer,Baratheon
Red,Temperate,Lion,Wealth,Axe,Lannister
Blonde,Temperate,Stag,Knowledge,Warhammer,Lannister
Black,Hot,Stag,Knowledge,Sword,Targaryen
Brown,Humid,Lion,Ambition,Warhammer,Baratheon
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Brown,Windy,Stag,Justice,Warhammer,Baratheon
Silver,Hot,Cat,Power,Axe,Targaryen
Blonde,Temperate,Lion,Ambition,Dagger,Lannister
Black,Cold,Direwolf,Loyalty,Spear,Stark
Silver,Humid,Dragon,Justice,Valyrian Steel,Targaryen
Blonde,Temperate,Raven,Wealth,Warhammer,Lannister
Brown,Temperate,Cat,Loyalty,Sword,Stark
Brown,Cold,Direwolf,Honor,Sword,Stark
Auburn,Cold,Direwolf,Honor,Spear,Stark
Auburn,Hot,Lion,Ambition,Valyrian Steel,Lannister
Auburn,Temperate,Stag,Honor,Sword,Baratheon
Black,Windy,Raven,Justice,Valyrian Steel,Baratheon
Black,Cold,Direwolf,Honor,Bow,Stark
Silver,Hot,Lion,Power,Sword,Targaryen
Silver,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Loyalty,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Red,Hot,Stag,Power,Valyrian Steel,Baratheon
Brown,Windy,Cat,Loyalty,Sword,Baratheon
Blonde,Temperate,Lion,Ambition,Sword,Lannister
Blonde,Temperate,Raven,Wealth,Sword,Lannister
Silver,Temperate,Cat,Knowledge,Valyrian Steel,Targaryen
Black,Cold,Cat,Loyalty,Warhammer,Baratheon
Brown,Windy,Stag,Knowledge,Spear,Baratheon
Brown,Cold,None,Knowledge,Axe,Stark
Blonde,Cold,Lion,Wealth,Warhammer,Lannister
Auburn,Windy,Stag,Justice,Warhammer,Baratheon
Brown,Cold,Cat,Justice,Sword,Stark
Silver,Windy,Stag,Ambition,Sword,Baratheon
Blonde,Windy,None,Ambition,Valyrian Steel,Lannister
Black,Cold,Direwolf,Honor,Axe,Stark
Black,Cold,Direwolf,Justice,Dagger,Stark
Black,Temperate,Raven,Power,Axe,Baratheon
Black,Cold,Direwolf,Loyalty,Sword,Stark
Brown,Cold,Direwolf,Ambition,Sword,Stark
Silver,Cold,Direwolf,Loyalty,Sword,Stark
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Cold,Raven,Honor,Bow,Stark
Silver,Temperate,Raven,Ambition,Valyrian Steel,Lannister
Blonde,Hot,None,Ambition,Spear,Lannister
Silver,Temperate,Direwolf,Power,Warhammer,Stark
Brown,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Black,Windy,Direwolf,Knowledge,Axe,Stark
Blonde,Temperate,Cat,Wealth,Warhammer,Lannister
Brown,Cold,Direwolf,Honor,Sword,Stark
Black,Windy,None,Loyalty,Bow,Baratheon
Brown,Temperate,Lion,Power,Valyrian Steel,Lannister
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,None,Loyalty,Axe,Stark
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Black,Temperate,Stag,Power,Warhammer,Baratheon
Blonde,Hot,Lion,Power,Dagger,Lannister
Red,Humid,Dragon,Ambition,Bow,Targaryen
Black,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Blonde,Temperate,Dragon,Power,Dagger,Lannister
Black,Cold,Stag,Power,Sword,Baratheon
Silver,Humid,Dragon,Power,Dagger,Targaryen
Black,Windy,Stag,Ambition,Bow,Baratheon
Silver,Windy,Dragon,Wealth,Sword,Targaryen
Black,Windy,Stag,Power,Sword,Baratheon
Brown,Windy,Stag,Loyalty,Warhammer,Baratheon
Brown,Humid,None,Loyalty,Bow,Lannister
Red,Cold,Raven,Knowledge,Warhammer,Lannister
Black,Hot,Lion,Power,Axe,Baratheon
Brown,Humid,Lion,Wealth,Valyrian Steel,Lannister
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Blonde,Temperate,Stag,Power,Valyrian Steel,Lannister
Silver,Windy,Raven,Ambition,Sword,Targaryen
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Red,Hot,Cat,Power,Bow,Baratheon
Black,Cold,Raven,Honor,Dagger,Stark
Blonde,Temperate,Lion,Power,Dagger,Lannister
Black,Cold,None,Honor,Dagger,Stark
Auburn,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Blonde,Cold,None,Ambition,Sword,Lannister
Silver,Temperate,None,Power,Sword,Targaryen
Silver,Cold,Lion,Knowledge,Sword,Targaryen
Brown,Cold,None,Loyalty,Valyrian Steel,Stark
Red,Cold,Direwolf,Honor,Sword,Stark
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Hot,Stag,Wealth,Axe,Lannister
Black,Temperate,Lion,Knowledge,Dagger,Baratheon
Black,Hot,Raven,Ambition,Axe,Baratheon
Blonde,Humid,Lion,Ambition,Valyrian Steel,Lannister
Black,Temperate,Lion,Wealth,Warhammer,Lannister
Black,Windy,Lion,Power,Sword,Baratheon
Auburn,Humid,Dragon,Power,Valyrian Steel,Targaryen
Brown,Hot,Cat,Wealth,Bow,Lannister
Black,Cold,Direwolf,Loyalty,Sword,Stark
Blonde,Temperate,None,Wealth,Spear,Lannister
Auburn,Cold,Direwolf,Power,Dagger,Stark
Black,Windy,None,Justice,Warhammer,Baratheon
Silver,Humid,Dragon,Ambition,Warhammer,Targaryen
Silver,Temperate,None,Knowledge,Valyrian Steel,Targaryen
Blonde,Humid,Lion,Ambition,Dagger,Lannister
Blonde,Temperate,Lion,Honor,Bow,Lannister
Red,Windy,Direwolf,Loyalty,Bow,Stark
Silver,Windy,Dragon,Ambition,Spear,Targaryen
Black,Windy,Stag,Ambition,Sword,Baratheon
Black,Windy,Stag,Power,Dagger,Baratheon
Blonde,Temperate,Lion,Loyalty,Valyrian Steel,Lannister
Black,Cold,Direwolf,Loyalty,Axe,Stark
Black,Cold,Raven,Justice,Sword,Stark
Auburn,Humid,Direwolf,Honor,Sword,Stark
Silver,Cold,Dragon,Honor,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Justice,Dagger,Lannister
Brown,Cold,None,Honor,Axe,Stark
Black,Temperate,Cat,Honor,Sword,Stark
Red,Cold,Stag,Power,Warhammer,Baratheon
Black,Temperate,Direwolf,Power,Axe,Stark
Blonde,Temperate,Lion,Power,Valyrian Steel,Lannister
Silver,Temperate,Dragon,Power,Warhammer,Targaryen
Silver,Cold,Dragon,Ambition,Axe,Targaryen
Silver,Humid,None,Power,Axe,Targaryen
Blonde,Temperate,None,Power,Valyrian Steel,Lannister
Blonde,Hot,Lion,Power,Bow,Lannister
Red,Cold,None,Justice,Dagger,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Blonde,Temperate,Cat,Ambition,Sword,Lannister
Brown,Windy,Stag,Ambition,Sword,Baratheon
Black,Windy,None,Power,Bow,Baratheon
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Brown,Hot,Stag,Loyalty,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Ambition,Axe,Targaryen
Silver,Humid,Raven,Power,Sword,Targaryen
Brown,Hot,Direwolf,Loyalty,Bow,Stark
Auburn,Temperate,Stag,Honor,Sword,Lannister
Black,Cold,Direwolf,Knowledge,Sword,Stark
Blonde,Windy,Lion,Ambition,Dagger,Lannister
Silver,Temperate,Dragon,Ambition,Dagger,Targaryen
Black,Temperate,Cat,Power,Dagger,Baratheon
Auburn,Humid,Stag,Ambition,Valyrian Steel,Targaryen
Black,Temperate,Lion,Power,Warhammer,Lannister
Black,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,None,Ambition,Warhammer,Lannister
Black,Temperate,Cat,Honor,Sword,Stark
Silver,Hot,Direwolf,Knowledge,Valyrian Steel,Targaryen
Black,Humid,Lion,Loyalty,Axe,Baratheon
Silver,Hot,Dragon,Power,Sword,Targaryen
Red,Cold,Direwolf,Ambition,Valyrian Steel,Stark
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Silver,Humid,None,Knowledge,Valyrian Steel,Targaryen
Silver,Cold,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Temperate,None,Wealth,Dagger,Baratheon
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Dagger,Lannister
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Hot,Lion,Knowledge,Bow,Targaryen
Silver,Hot,None,Honor,Dagger,Targaryen
Brown,Cold,Direwolf,Loyalty,Bow,Stark
Silver,Hot,None,Power,Sword,Targaryen
Red,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Windy,Direwolf,Honor,Bow,Stark
Auburn,Cold,Direwolf,Loyalty,Axe,Stark
Silver,Humid,None,Ambition,Valyrian Steel,Targaryen
Silver,Cold,Direwolf,Honor,Bow,Stark
Black,Cold,Stag,Honor,Sword,Stark
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Bow,Lannister
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Brown,Temperate,None,Wealth,Warhammer,Baratheon
Black,Windy,Dragon,Power,Dagger,Baratheon
Auburn,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Red,Cold,Raven,Honor,Sword,Stark
Blonde,Temperate,Lion,Power,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Silver,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Hot,None,Knowledge,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Axe,Stark
Silver,Hot,Stag,Power,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Honor,Bow,Stark
Blonde,Temperate,None,Wealth,Dagger,Lannister
Black,Cold,Direwolf,Ambition,Axe,Stark
Black,Cold,Dragon,Wealth,Dagger,Baratheon
Blonde,Windy,None,Power,Sword,Targaryen
Black,Cold,Direwolf,Honor,Bow,Stark
Brown,Windy,Stag,Power,Warhammer,Baratheon
Black,Cold,Direwolf,Honor,Axe,Stark
Black,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Silver,Hot,Dragon,Power,Sword,Targaryen
Brown,Cold,Direwolf,Power,Valyrian Steel,Stark
Black,Cold,Cat,Justice,Sword,Stark
Auburn,Temperate,Stag,Power,Valyrian Steel,Baratheon
Brown,Cold,Stag,Wealth,Axe,Stark
Brown,Windy,Dragon,Ambition,Sword,Baratheon
Blonde,Temperate,Cat,Justice,Sword,Lannister
Silver,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Red,Temperate,Stag,Ambition,Dagger,Baratheon
Blonde,Temperate,Cat,Wealth,Dagger,Lannister
Silver,Hot,Raven,Honor,Dagger,Targaryen
Silver,Hot,Cat,Loyalty,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Warhammer,Targaryen
Silver,Hot,Direwolf,Knowledge,Spear,Targaryen
Black,Hot,None,Power,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Knowledge,Valyrian Steel,Stark
Black,Humid,Direwolf,Justice,Axe,Stark
Black,Windy,None,Loyalty,Bow,Baratheon
Black,Cold,Direwolf,Knowledge,Axe,Stark
Blonde,Temperate,Lion,Wealth,Dagger,Lannister
Black,Cold,Raven,Honor,Spear,Stark
Silver,Windy,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Raven,Ambition,Valyrian Steel,Lannister
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,Raven,Power,Spear,Stark
Brown,Temperate,Direwolf,Honor,Sword,Stark
Brown,Windy,Stag,Ambition,Warhammer,Baratheon
Red,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Black,Windy,None,Ambition,Bow,Baratheon
Black,Hot,Lion,Knowledge,Sword,Baratheon
Black,Temperate,None,Honor,Valyrian Steel,Stark
Brown,Temperate,Cat,Justice,Warhammer,Baratheon
Blonde,Temperate,Cat,Wealth,Bow,Lannister
Auburn,Temperate,None,Power,Warhammer,Baratheon
Silver,Windy,Dragon,Ambition,Sword,Targaryen
Silver,Humid,Dragon,Justice,Bow,Targaryen
Brown,Cold,Raven,Honor,Sword,Stark
Black,Temperate,Cat,Loyalty,Warhammer,Baratheon
Brown,Hot,Raven,Wealth,Valyrian Steel,Lannister
Silver,Hot,None,Ambition,Sword,Targaryen
Auburn,Cold,None,Power,Warhammer,Lannister
Black,Windy,Direwolf,Loyalty,Bow,Stark
Black,Cold,None,Honor,Bow,Stark
Blonde,Temperate,None,Power,Dagger,Lannister
Red,Cold,Direwolf,Loyalty,Axe,Stark
Blonde,Hot,Lion,Ambition,Warhammer,Lannister
Blonde,Temperate,None,Power,Axe,Lannister
Red,Hot,None,Power,Sword,Targaryen
Black,Cold,Direwolf,Justice,Warhammer,Stark
Silver,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Wealth,Warhammer,Lannister
Silver,Cold,None,Power,Sword,Targaryen
Black,Cold,Cat,Honor,Axe,Stark
Silver,Humid,None,Honor,Valyrian Steel,Targaryen
Red,Temperate,None,Loyalty,Bow,Lannister
Red,Hot,Lion,Knowledge,Axe,Lannister
Black,Cold,Raven,Honor,Warhammer,Stark
Black,Cold,Direwolf,Honor,Sword,Stark
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Bow,Lannister
Blonde,Temperate,None,Wealth,Warhammer,Lannister
Black,Humid,Direwolf,Loyalty,Axe,Stark
Red,Cold,Raven,Honor,Valyrian Steel,Stark
Brown,Temperate,None,Justice,Warhammer,Stark
Black,Temperate,Stag,Power,Axe,Baratheon
Blonde,Temperate,Lion,Wealth,Dagger,Lannister
Silver,Humid,Dragon,Knowledge,Sword,Targaryen
Blonde,Cold,Lion,Justice,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Ambition,Sword,Lannister
Silver,Windy,Dragon,Ambition,Dagger,Targaryen
Silver,Temperate,None,Justice,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Sword,Lannister
Black,Cold,Direwolf,Knowledge,Spear,Stark
Brown,Temperate,Stag,Ambition,Sword,Lannister
Auburn,Cold,Direwolf,Honor,Spear,Stark
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Black,Cold,None,Honor,Axe,Stark
Black,Humid,Direwolf,Justice,Sword,Stark
Silver,Humid,Dragon,Knowledge,Axe,Targaryen
Auburn,Cold,Direwolf,Loyalty,Bow,Stark
Brown,Windy,None,Honor,Axe,Baratheon
Blonde,Hot,None,Wealth,Axe,Lannister
Black,Humid,Stag,Justice,Warhammer,Baratheon
Silver,Hot,Dragon,Ambition,Dagger,Targaryen
Auburn,Humid,Raven,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,Raven,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,None,Power,Sword,Lannister
Brown,Temperate,Lion,Justice,Valyrian Steel,Lannister
Black,Humid,None,Loyalty,Warhammer,Baratheon
Black,Cold,Direwolf,Honor,Sword,Stark
Black,Windy,Raven,Loyalty,Bow,Baratheon
Silver,Humid,Raven,Justice,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Axe,Lannister
Blonde,Hot,Stag,Justice,Axe,Baratheon
Black,Windy,Raven,Wealth,Spear,Baratheon
Brown,Cold,Direwolf,Honor,Sword,Stark
Black,Cold,Raven,Loyalty,Bow,Stark
Brown,Windy,Stag,Power,Sword,Baratheon
Silver,Hot,Dragon,Loyalty,Valyrian Steel,Targaryen
Black,Cold,None,Loyalty,Valyrian Steel,Stark
Silver,Temperate,Stag,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Black,Cold,Direwolf,Wealth,Sword,Stark
Silver,Windy,None,Knowledge,Dagger,Targaryen
Blonde,Hot,Dragon,Justice,Sword,Targaryen
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Wealth,Sword,Targaryen
Black,Temperate,Stag,Ambition,Sword,Baratheon
Silver,Cold,Dragon,Ambition,Sword,Targaryen
Black,Hot,Direwolf,Wealth,Sword,Stark
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Blonde,Hot,None,Justice,Valyrian Steel,Lannister
Silver,Hot,Dragon,Knowledge,Valyrian Steel,Targaryen
Silver,Hot,None,Wealth,Valyrian Steel,Targaryen
Blonde,Humid,Stag,Power,Warhammer,Baratheon
Silver,Temperate,Direwolf,Justice,Dagger,Targaryen
Silver,Humid,None,Loyalty,Sword,Targaryen
Silver,Hot,None,Ambition,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Temperate,Raven,Knowledge,Axe,Targaryen
Blonde,Hot,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,Stag,Wealth,Axe,Stark
Black,Cold,Raven,Justice,Sword,Stark
Auburn,Temperate,None,Wealth,Valyrian Steel,Lannister
Auburn,Humid,Dragon,Justice,Spear,Targaryen
Blonde,Hot,None,Wealth,Valyrian Steel,Lannister
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Windy,Dragon,Ambition,Warhammer,Targaryen
Black,Windy,Stag,Power,Warhammer,Baratheon
Blonde,Temperate,None,Wealth,Sword,Lannister
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Auburn,Temperate,Dragon,Ambition,Warhammer,Targaryen
Silver,Hot,Direwolf,Ambition,Valyrian Steel,Targaryen
Black,Windy,Direwolf,Power,Valyrian Steel,Stark
Silver,Humid,None,Knowledge,Valyrian Steel,Targaryen
Red,Temperate,Lion,Ambition,Dagger,Lannister
Brown,Cold,None,Honor,Warhammer,Stark
Silver,Windy,Dragon,Power,Valyrian Steel,Targaryen
Black,Temperate,Stag,Power,Warhammer,Baratheon
Blonde,Temperate,Lion,Ambition,Axe,Lannister
Black,Temperate,None,Knowledge,Warhammer,Baratheon
Black,Cold,Cat,Power,Bow,Baratheon
Black,Temperate,Direwolf,Power,Axe,Stark
Black,Hot,Direwolf,Loyalty,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Blonde,Humid,None,Power,Dagger,Lannister
Red,Cold,Direwolf,Honor,Sword,Stark
Red,Temperate,Cat,Wealth,Sword,Lannister
Blonde,Temperate,Lion,Wealth,Bow,Lannister
Red,Hot,Stag,Justice,Sword,Baratheon
Red,Cold,Stag,Justice,Dagger,Baratheon
Black,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Blonde,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Black,Windy,Stag,Loyalty,Warhammer,Baratheon
Red,Temperate,Lion,Ambition,Sword,Lannister
Blonde,Temperate,None,Power,Valyrian Steel,Lannister
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Wealth,Valyrian Steel,Stark
Brown,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Red,Windy,Direwolf,Honor,Valyrian Steel,Stark
Black,Hot,Stag,Ambition,Axe,Baratheon
Silver,Cold,Dragon,Power,Dagger,Targaryen
Blonde,Temperate,Lion,Justice,Spear,Lannister
Blonde,Windy,Lion,Knowledge,Valyrian Steel,Lannister
Silver,Humid,Dragon,Loyalty,Valyrian Steel,Targaryen
Auburn,Cold,Raven,Power,Sword,Stark
Red,Cold,Direwolf,Honor,Axe,Stark
Blonde,Temperate,Lion,Wealth,Spear,Lannister
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Black,Cold,Stag,Power,Dagger,Baratheon
Brown,Humid,Dragon,Ambition,Dagger,Targaryen
Brown,Cold,Direwolf,Honor,Spear,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Red,Hot,Stag,Ambition,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Power,Bow,Stark
Auburn,Hot,Dragon,Knowledge,Sword,Targaryen
Brown,Cold,Direwolf,Power,Bow,Stark
Blonde,Cold,None,Ambition,Dagger,Stark
Brown,Temperate,Stag,Honor,Spear,Stark
Black,Windy,Stag,Loyalty,Sword,Baratheon
Silver,Hot,Dragon,Knowledge,Sword,Targaryen
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Raven,Ambition,Valyrian Steel,Lannister
Silver,Temperate,Dragon,Power,Sword,Targaryen
Black,Windy,Direwolf,Ambition,Dagger,Stark
Brown,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Humid,Direwolf,Loyalty,Dagger,Stark
Red,Windy,Lion,Ambition,Warhammer,Baratheon
Silver,Humid,None,Justice,Warhammer,Targaryen
Black,Temperate,Dragon,Wealth,Sword,Stark
Blonde,Humid,Raven,Wealth,Dagger,Lannister
Red,Cold,Direwolf,Honor,Spear,Stark
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Humid,None,Wealth,Axe,Stark
Brown,Temperate,Direwolf,Wealth,Warhammer,Stark
Black,Windy,Stag,Wealth,Valyrian Steel,Baratheon
Brown,Cold,Raven,Power,Axe,Baratheon
Blonde,Hot,Cat,Wealth,Sword,Lannister
Black,Cold,Raven,Honor,Sword,Stark
Silver,Hot,Dragon,Loyalty,Spear,Targaryen
Brown,Cold,Direwolf,Loyalty,Spear,Stark
Black,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Silver,Temperate,Stag,Ambition,Warhammer,Baratheon
Silver,Humid,None,Wealth,Valyrian Steel,Targaryen
Black,Windy,Stag,Justice,Sword,Baratheon
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Temperate,Cat,Knowledge,Valyrian Steel,Baratheon
Brown,Cold,Direwolf,Loyalty,Axe,Stark
Silver,Hot,Dragon,Justice,Dagger,Targaryen
Blonde,Temperate,Lion,Ambition,Bow,Lannister
Black,Windy,None,Wealth,Valyrian Steel,Baratheon
Auburn,Temperate,Lion,Wealth,Bow,Lannister
Black,Cold,Direwolf,Loyalty,Sword,Stark
Brown,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Windy,Stag,Ambition,Warhammer,Baratheon
Silver,Cold,Dragon,Justice,Valyrian Steel,Targaryen
Red,Temperate,Cat,Ambition,Valyrian Steel,Baratheon
Brown,Temperate,Raven,Wealth,Warhammer,Baratheon
Black,Windy,Stag,Power,Axe,Baratheon
Auburn,Windy,Dragon,Justice,Valyrian Steel,Targaryen
Black,Cold,None,Loyalty,Dagger,Stark
Brown,Cold,Direwolf,Loyalty,Sword,Stark
Black,Windy,Stag,Loyalty,Sword,Baratheon
Auburn,Cold,Raven,Justice,Sword,Stark
Brown,Windy,None,Power,Dagger,Stark
Red,Windy,Direwolf,Honor,Sword,Stark
Auburn,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Temperate,None,Ambition,Spear,Targaryen
Black,Cold,Direwolf,Justice,Axe,Stark
Black,Windy,Cat,Wealth,Axe,Baratheon
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Black,Windy,Stag,Justice,Spear,Baratheon
Silver,Hot,Dragon,Power,Sword,Targaryen
Black,Temperate,Cat,Power,Dagger,Baratheon
Red,Hot,None,Honor,Dagger,Stark
Black,Cold,Direwolf,Wealth,Axe,Stark
Black,Cold,Direwolf,Loyalty,Sword,Stark
Blonde,Temperate,Stag,Loyalty,Warhammer,Baratheon
Blonde,Hot,Raven,Wealth,Dagger,Lannister
Brown,Cold,None,Power,Axe,Stark
Auburn,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Ambition,Axe,Lannister
Black,Windy,Stag,Wealth,Axe,Baratheon
Brown,Cold,Cat,Honor,Sword,Stark
Auburn,Hot,Lion,Power,Sword,Lannister
Brown,Temperate,Stag,Wealth,Valyrian Steel,Baratheon
Brown,Cold,Lion,Loyalty,Spear,Stark
Auburn,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Silver,Temperate,Lion,Wealth,Bow,Lannister
Blonde,Cold,None,Justice,Axe,Lannister
Black,Temperate,None,Wealth,Sword,Lannister
Silver,Cold,Dragon,Power,Dagger,Targaryen
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Auburn,Humid,Lion,Ambition,Valyrian Steel,Lannister
Silver,Humid,None,Power,Valyrian Steel,Targaryen
